GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042500404,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,202687,Bismack Biyombo,Bismack,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,1629162,Jordan McLaughlin,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,203482,Kelly Olynyk,Kelly,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,203486,Mason Plumlee,Mason,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,1630322,Lindy Waters III,Lindy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,41:28,10.0,15.0,0.667,7.0,9.0,0.778,6.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,33.0,-1.0
0042500404,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,32:48,2.0,4.0,0.5,1.0,2.0,0.5,1.0,3.0,0.333,2.0,6.0,8.0,6.0,2.0,0.0,2.0,3.0,6.0,11.0
0042500404,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,25:45,4.0,5.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,2.0,8.0,10.0,2.0,0.0,0.0,3.0,4.0,13.0,17.0
0042500404,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,28:07,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,-2.0
0042500404,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,44:27,12.0,25.0,0.48,3.0,7.0,0.429,9.0,11.0,0.818,0.0,5.0,5.0,7.0,3.0,0.0,3.0,1.0,36.0,11.0
0042500404,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,12:59,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,-14.0
0042500404,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,20:30,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-13.0
0042500404,1610612752,NYK,New York,1630574,Ariel Hukporti,Ariel,,,3:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
0042500404,1610612752,NYK,New York,1630631,Jose Alvarado,Jose,,,15:38,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,5.0,8.0,11.0
0042500404,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,7:12,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0
0042500404,1610612752,NYK,New York,1631110,Jeremy Sochan,Jeremy,,,2:60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
0042500404,1610612752,NYK,New York,203903,Jordan Clarkson,Jordan,,,4:40,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
0042500404,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612752,NYK,New York,1642885,Mohamed Diawara,Mohamed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
